                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1375,                   2.12,                  1.313,                  2e-05,                0.00484,                  1e-05,                      0,                    nan,                    nan,                    nan,             0.00066019,             0.00066019,             0.00066019
                      2,                 1.4666,                  1.688,                 1.5524,                 0.0009,                0.15012,                0.00042,                0.00017,                 2.4327,                    inf,                 4.7518,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.4499,                 1.5954,                 1.5356,                0.01215,                0.31719,                0.00804,                0.00466,                 1.2645,                    inf,                 2.2466,              0.0019541,              0.0019541,              0.0019541
                      4,                 1.3405,                   1.41,                 1.4605,                0.73158,                0.35109,                0.39851,                0.26701,                 1.5315,                 18.758,                  1.101,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3048,                 1.3504,                  1.421,                0.70841,                0.33172,                 0.3775,                0.24511,                 1.3902,                 1.3496,                0.97587,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2114,                 1.2056,                 1.3522,                0.76001,                0.35272,                0.40053,                0.29996,                 1.4411,                  12.85,                 0.9465,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1456,                 1.1093,                 1.3123,                0.70347,                0.42857,                0.44676,                0.32104,                 1.3233,                 4.9984,                0.98811,               0.001901,               0.001901,               0.001901
                      8,                    1.1,                 1.0348,                 1.2735,                0.79995,                0.45036,                0.48232,                0.34392,                 1.4066,                 1.8041,                0.93039,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0761,                 1.0154,                 1.2582,                0.81844,                0.44752,                  0.489,                0.35343,                 1.6837,                 1.9402,                0.99035,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0444,                0.99821,                 1.2459,                0.79489,                0.43166,                0.46949,                0.34048,                 1.9095,                  1.915,                 1.0596,              0.0018416,              0.0018416,              0.0018416
